FAO item name,FAO item code,Subcategory,Environmental extension,EXIOBASE product code,EXIOBASE product,CPA name,CPA Code(s),CPA 2002,Not in 'crops primary',Notes,EXIOBASE industry code,EXIOBASE industry name
Coir,813,Plant-based fibers,Plant-based fibers,p01.g,Plant-based fibers,"Flax and true hemp; sisal and other textile fibres of the genus Agave, raw",01.11.73,x,X,"not included in coconuts, no double-counting",i01.d,"Cultivation of vegetables, fruit, nuts"
Fibre Crops nes,821,Plant-based fibers,Plant-based fibers,p01.g,Plant-based fibers,"Flax and true hemp; sisal and other textile fibres of the genus Agave, raw",01.11.73,x,,,i01.g,Cultivation of plant-based fibers
Chicory Roots,459,Crops nec,Crops nec,p01.h,Crops nec,Other raw vergetable materials,01.11.93,x,,,i01.h,Cultivation of crops nec
"Coffee, Green",656,Crops nec,Crops nec,p01.h,Crops nec,"Coffee, not roasted, not decaffeinated",01.13.31,x,,,i01.h,Cultivation of crops nec
"Cocoa, beans",661,Crops nec,Crops nec,p01.h,Crops nec,Cocoa beans,01.13.34,x,,,i01.h,Cultivation of crops nec
Tea,667,Crops nec,Crops nec,p01.h,Crops nec,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content > 3 kg",01.13.32,x,,,i01.h,Cultivation of crops nec
Maté,671,Crops nec,Crops nec,p01.h,Crops nec,Mate,01.13.33,x,,,i01.h,Cultivation of crops nec
Tea nes,674,Crops nec,Crops nec,p01.h,Crops nec,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content > 3 kg",01.13.32,,,,i01.h,Cultivation of crops nec
Hops,677,Crops nec,Crops nec,p01.h,Crops nec,Other raw vegetable materials,01.11.93,x,,,i01.h,Cultivation of crops nec
Pepper (Piper spp.),687,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
"Chillies and peppers, dry",689,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
Vanilla,692,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
Cinnamon (canella),693,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
Cloves,698,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
"Nutmeg, mace and cardamoms",702,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
"Anise, badian, fennel, coriander",711,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
Ginger,720,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
"Spices, nes",723,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,x,,,i01.h,Cultivation of crops nec
Peppermint,748,Crops nec,Crops nec,p01.h,Crops nec,"Spices, not processed",01.13.40,,,,i01.h,Cultivation of crops nec
"Pyrethrum, dried",754,Crops nec,Crops nec,p01.h,Crops nec,"Plants used primary in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes",01.11.91,,,,i01.h,Cultivation of crops nec
"Tobacco, unmanufactured",826,Crops nec,Crops nec,p01.h,Crops nec,Unmanufactured tobacco,01.11.40,x,,,i01.h,Cultivation of crops nec
"Rubber, natural",836,Crops nec,Crops nec,p01.h,Crops nec,Natural rubber,01.11.80,x,,,i01.h,Cultivation of crops nec
"Forage and silage, maize",636,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
"Forage and silage, sorghum",637,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
"Forage and silage, rye grass",638,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
"Forage and silage, grasses nes",639,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
"Forage and silage, clover",640,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
"Forage and silage, alfalfa",641,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
"Forage and silage, green oilseeds",642,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
"Forage and silage, legumes",643,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Cabbage for Fodder,644,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Pumpkins for Fodder,645,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Turnips for Fodder,646,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Beets for Fodder,647,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Carrots for Fodder,648,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Swedes for Fodder,649,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Forage Products,651,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Vegetables and roots fodder,655,Fodder crops,Fodder crops,p01.i;p01.j;p01.k;p01.l;p01.n,div. animal sectors,Straw and forage,01.11.60,,,,,
Grazing,n.a.,Grazing,Grazing,p01.i;p01.l;p01.n,div. animal sectors,n.a.,n.a.,,,,,
Straw,n.a.,Straw,Crop residues,p01.i;p01.l;p01.n,div. animal sectors,n.a.,n.a.,,,,,
Other crop residues,n.a.,Other crop residues,Crop residues,p01.i;p01.l;p01.n,div. animal sectors,n.a.,n.a.,,,,,
Kapok Fruit,310,Forestry products,Forestry products,p02,"Products of forestry, logging and related services","Vegetable materials n.e.c., for plaiting, stuffing, padding, dyeing or tanning; vegetable products n.e.c.",02.01.42,x,,,i02,"Forestry, logging and related service activities (02)"
"Gums, natural",839,Forestry products,Forestry products,p02,"Products of forestry, logging and related services","Balata, gutta-percha, guayula, chicle and similar natural gums; Lac, natural gums, resins, gum-resins and balsams",02.01.21; 02.01.22,x,,,i02,"Forestry, logging and related service activities (02)"
Seed cotton,328,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,,,CPA includes cotton seed and lint separately,,
